时刻   状态       pose.en  Curl  握拳度R  握拳度L   CurrentSpeed
-----------------------------------------------------------------
== 比值 > 1.45 的帧 ==
 1.61   Atk3      Y    30     1.547    1.416     4.73
 1.61   Atk3      Y    30     1.547    1.418     4.40
 1.62   Atk3      Y    30     1.547    1.418     4.02
 1.63   Atk3      Y    30     1.547    1.418     3.74
 1.64   Atk3      Y    30     1.547    1.418     3.41
 1.64   Atk3      Y    30     1.547    1.418     3.06
 1.65   Atk3      Y    30     1.547    1.418     2.77
 1.66   Atk3      Y    30     1.547    1.418     2.49
 1.66   Atk3      Y    30     1.547    1.418     2.18
 1.67   Atk3      Y    30     1.547    1.418     1.75
 1.68   Atk3      Y    30     1.547    1.418     1.47
 1.68   Atk3      Y    30     1.547    1.418     1.13
 1.69   Atk3      Y    30     1.547    1.418     0.82
 1.70   Atk3      Y    30     1.547    1.418     0.52
 1.70   Atk3      Y    30     1.547    1.418     0.24
 1.71   Atk3      Y    30     1.547    1.418     0.00
 1.72   Atk3      Y    30     1.547    1.418     0.00
 1.73   Atk3      Y    30     1.547    1.418     0.00
 1.73   Atk3      Y    30     1.547    1.418     0.00
 1.74   Atk3      Y    30     1.547    1.418     0.00
 1.75   Atk3      Y    30     1.547    1.418     0.00
 1.75   Atk3      Y    30     1.547    1.418     0.00
 1.76   Atk3      Y    30     1.547    1.418     0.00
 1.77   Atk3      Y    30     1.547    1.418     0.00
 1.77   Atk3      Y    30     1.547    1.418     0.00
 1.78   Atk3      Y    30     1.547    1.418     0.00
 1.79   Atk3      Y    30     1.547    1.418     0.00
 1.79   Atk3      Y    30     1.547    1.418     0.00
 1.80   Atk3      Y    30     1.547    1.418     0.00
 1.81   Atk3      Y    30     1.547    1.418     0.00
 1.82   Atk3      Y    30     1.547    1.418     0.00
 1.82   Atk3      Y    30     1.547    1.418     0.00
 1.83   Atk3      Y    30     1.547    1.418     0.00
 1.84   Atk3      Y    30     1.547    1.418     0.00
 1.84   Atk3      Y    30     1.547    1.418     0.00
 1.85   Atk3      Y    30     1.547    1.418     0.00
 1.86   Atk3      Y    30     1.547    1.418     0.00
 1.86   Atk3      Y    30     1.547    1.418     0.00
 1.87   Atk3      Y    30     1.547    1.418     0.00
 1.88   Atk3      Y    30     1.547    1.418     0.00
 1.89   Atk3      Y    30     1.547    1.418     0.00
 1.89   Atk3      Y    30     1.547    1.418     0.00
 1.90   Atk3      Y    30     1.547    1.418     0.00
 1.91   Atk3      Y    30     1.547    1.418     0.00
 1.91   Atk3      Y    30     1.547    1.418     0.00
 1.92   Atk3      Y    30     1.547    1.418     0.00
 1.93   Atk3      Y    30     1.547    1.418     0.00
 1.93   Atk3      Y    30     1.547    1.418     0.00
 1.94   Atk3      Y    30     1.547    1.418     0.00
 1.95   Atk3      Y    30     1.547    1.418     0.00
 1.95   Atk3      Y    30     1.547    1.418     0.00
 1.96   Atk3      Y    30     1.547    1.418     0.00
 1.97   Atk3      Y    30     1.547    1.418     0.00
 1.98   Atk3      Y    30     1.547    1.418     0.00
 1.98   Atk3      Y    30     1.547    1.418     0.00
 1.99   Atk3      Y    30     1.547    1.418     0.00
 2.00   Atk3      Y    30     1.547    1.418     0.00
 2.00   Atk3      Y    30     1.547    1.418     0.00
 2.01   Atk3      Y    30     1.547    1.418     0.00
 2.02   Atk3      Y    30     1.547    1.418     0.00
 2.02   Atk3      Y    30     1.547    1.418     0.00
 2.03   Atk3      Y    30     1.547    1.418     0.00
 2.04   Atk3      Y    30     1.547    1.418     0.00
 2.04   Atk3      Y    30     1.547    1.418     0.00
 2.05   Atk3      Y    30     1.547    1.418     0.00
 2.06   Atk3      Y    30     1.547    1.418     0.00
 2.07   Atk3      Y    30     1.547    1.418     0.00
 2.07   Atk3      Y    30     1.547    1.418     0.00
 2.08   Atk3      Y    30     1.547    1.418     0.00
 2.09   Atk3      Y    30     1.547    1.418     0.00
 2.09   Atk3      Y    30     1.547    1.418     0.00
 2.10   Atk3      Y    30     1.547    1.418     0.00
 2.11   Atk3      Y    30     1.547    1.418     0.08
 2.11   Atk3      Y    30     1.547    1.418     0.09
 2.12   Atk3      Y    30     1.547    1.418     0.07
 2.13   Atk3      Y    30     1.547    1.418     0.07
 2.14   Atk3      Y    30     1.547    1.418     0.08
 2.14   Atk3      Y    30     1.547    1.418     0.07
 2.15   Atk3      Y    30     1.547    1.418     0.08
 2.16   Atk3      Y    30     1.547    1.418     0.07
 2.16   Atk3      Y    30     1.547    1.418     0.08
 2.17   Atk3      Y    30     1.547    1.418     0.07
 2.18   Atk3      Y    30     1.547    1.418     0.07
 2.18   Atk3      Y    30     1.547    1.418     0.10
 2.19   Atk3      Y    30     1.547    1.418     0.08
 2.20   Atk3      Y    30     1.547    1.418     0.07
 2.20   Atk3      Y    30     1.547    1.418     0.08
 2.21   Atk3      Y    30     1.547    1.418     0.08
 2.22   Atk3      Y    30     1.547    1.418     0.07
 2.23   Atk3      Y    30     1.547    1.418     0.09
 2.23   Atk3      Y    30     1.547    1.418     0.07
 2.24   Atk3      Y    30     1.547    1.417     0.08
 2.25   Atk3      Y    30     1.547    1.415     0.08
 2.25   Atk3      Y    30     1.547    1.413     0.07
 2.26   Atk3      Y    30     1.547    1.409     0.08
 2.27   Atk3      Y    30     1.547    1.404     0.07
 2.27   Atk3      Y    30     1.547    1.398     0.08
 2.28   Atk3      Y    30     1.547    1.391     0.08
 2.29   Atk3      Y    30     1.547    1.383     0.08
 2.30   Atk3      Y    30     1.547    1.374     0.08
 2.30   Atk3      Y    30     1.547    1.366     0.07
 2.31   Atk3      Y    30     1.547    1.356     0.08
 2.31   Atk3      Y    30     1.547    1.347     0.07
 2.32   Atk3      Y    30     1.547    1.336     0.08
 2.33   Atk3      Y    30     1.547    1.326     0.08
 2.34   Atk3      Y    30     1.547    1.315     0.08
 2.34   Atk3      Y    30     1.547    1.305     0.07
 2.35   Atk3      Y    30     1.547    1.292     0.09
 2.36   Atk3      Y    30     1.547    1.282     0.08
 2.36   Atk3      Y    30     1.547    1.273     0.07
 2.37   Atk3      Y    30     1.547    1.265     0.07
 2.38   Atk3      Y    30     1.547    1.256     0.07
 2.39   Atk3      Y    30     1.547    1.248     0.08
 2.39   Atk3      Y    30     1.547    1.242     0.07
 2.40   Atk3      Y    30     1.547    1.235     0.08
 2.41   Atk3      Y    30     1.547    1.230     0.08
 2.41   Atk3      Y    30     1.547    1.226     0.07
 2.42   Atk3      Y    30     1.547    1.223     0.08
 2.43   Atk3      Y    30     1.547    1.221     0.08
 2.43   Atk3      Y    30     1.547    1.220     0.08
 2.44   Atk3      Y    30     1.547    1.220     0.08
 2.45   Atk3      Y    30     1.547    1.221     0.07
 2.45   Atk3      Y    30     1.547    1.224     0.09
 2.46   Atk3      Y    30     1.547    1.228     0.07
 2.47   Atk3      Y    30     1.547    1.232     0.08
 2.48   Atk3      Y    30     1.547    1.238     0.08
 2.48   Atk3      Y    30     1.547    1.244     0.07
 2.49   Atk3      Y    30     1.547    1.251     0.08
 2.50   Atk3      Y    30     1.547    1.258     0.07
 2.50   Atk3      Y    30     1.547    1.269     0.08
 2.51   Atk3      Y    30     1.547    1.286     0.09
 2.52   Atk3      Y    30     1.547    1.301     0.08
 2.52   Atk3      Y    30     1.547    1.315     0.07
 2.53   Atk3      Y    30     1.547    1.330     0.08
 2.54   Atk3      Y    30     1.547    1.345     0.08
 2.54   Atk3      Y    30     1.547    1.357     0.07
 2.55   Atk3      Y    30     1.547    1.371     0.08
 2.56   Atk3      Y    30     1.547    1.381     0.07
 2.57   Atk3      Y    30     1.547    1.393     0.09
 2.57   Atk3      Y    30     1.547    1.402     0.08
 2.58   Atk3      Y    30     1.547    1.411     0.08
 2.59   Atk3      Y    30     1.547    1.418     0.07
 2.59   Atk3      Y    30     1.547    1.425     0.08
 2.60   Atk3      Y    30     1.547    1.431     0.07
 2.61   Atk3      Y    30     1.547    1.437     0.09
 2.61   Atk3      Y    30     1.547    1.442     0.08
 2.62   Atk3      Y    30     1.547    1.445     0.07
 2.63   Atk3      Y    30     1.547    1.449     0.09
 2.63   Atk3      Y    30     1.547    1.452     0.08
 2.64   Atk3      Y    30     1.547    1.454     0.07
 2.65   Atk3      Y    30     1.547    1.456     0.08
 2.65   Atk3      Y    30     1.547    1.458     0.08
 2.66   Atk3      Y    30     1.547    1.459     0.07
 2.67   Atk3      Y    30     1.547    1.460     0.09
 2.68   Atk3      Y    30     1.547    1.461     0.08
 2.68   Atk3      Y    30     1.547    1.461     0.07
 2.69   Atk3      Y    30     1.547    1.462     0.10
 2.70   Atk3      Y    30     1.547    1.462     0.06
 2.70   Walk      Y    30     1.547    1.462     0.08   ← 非攻击
 2.71   Walk      Y    30     1.547    1.462     0.00   ← 非攻击
 2.72   Walk      Y    30     1.547    1.462     0.18   ← 非攻击
 2.72   Walk      Y    30     1.547    1.462     0.37   ← 非攻击
 2.73   Walk      Y    30     1.547    1.462     0.53   ← 非攻击
 2.74   Walk      Y    30     1.547    1.462     0.73   ← 非攻击
 2.74   Walk      Y    30     1.547    1.462     0.91   ← 非攻击
 2.75   Walk      Y    30     1.547    1.462     1.11   ← 非攻击
 2.76   Walk      Y    30     1.547    1.462     1.27   ← 非攻击
 2.77   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.77   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.78   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.79   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.79   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.80   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.81   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.81   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.82   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.83   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.84   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.84   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.85   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.86   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.86   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.87   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.88   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.88   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.89   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.90   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.90   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.91   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.92   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.93   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.93   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.94   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.95   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.95   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.96   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.97   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.97   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.98   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.99   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 2.99   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.00   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.01   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.02   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.02   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.03   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.04   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.04   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.05   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.06   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.06   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.07   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.08   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.08   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.09   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.10   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.11   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.11   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.12   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.13   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.13   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.14   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.15   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.15   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.16   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.17   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
 3.17   Walk      Y    30     1.547    1.462     1.40   ← 非攻击
